"Date","Open","High","Low","Close","Volume","Change"
1996-06-17,253.58,255.14,253.52,254.6,0,0.493388592855726
1996-06-18,254.73,256.07,254.63,255.91,0,0.514532600157103
1996-06-19,255.41,255.86,252.99,253.26,0,-1.03552030010551
1996-06-20,253.71,253.71,251.39,251.8,0,-0.576482666034894
1996-06-21,250.65,251.96,250.25,251.44,0,-0.142970611596516
1996-06-24,251.65,251.83,250.57,251.62,0,0.0715876551065975
1996-06-25,251.69,253.29,250.81,252.54,0,0.365630712979881
1996-06-26,253.36,254.5,253.35,253.89,0,0.534568781183187
1996-06-27,253.4,254.36,252.44,252.52,0,-0.539603765410213
1996-06-28,253.48,254.27,252.88,254.27,0,0.693014414699822
1996-07-01,254.55,255.4,253.86,254.13,0,-0.0550595823337496
1996-07-02,255.47,255.59,253.87,253.87,0,-0.102309841419745
1996-07-03,253.56,254.87,253.15,254.26,0,0.153621932485115
1996-07-04,254.55,255.64,254.5,255.46,0,0.471957838433101
1996-07-05,255.47,256.2,252.39,253.63,0,-0.716354810929309
1996-07-08,251.64,252.15,249.62,251.6,0,-0.800378504120181
1996-07-09,251.93,253.08,251.81,252.65,0,0.417329093799679
1996-07-10,252.74,253.1,251.63,251.63,0,-0.403720562042353
1996-07-11,252.47,253.12,249.24,249.3,0,-0.925962723045737
1996-07-12,247.57,248.64,245.84,248.22,0,-0.433212996389898
1996-07-15,248.24,248.39,244.64,244.7,0,-1.41809684956894
1996-07-16,238.19,240.9,234.69,239.72,0,-2.03514507560277
1996-07-17,239.38,241.68,238.84,239.19,0,-0.221091273152008
1996-07-18,239.38,241.24,239.38,240.23,0,0.434800785986034
1996-07-19,242.78,243.95,241.9,242.34,0,0.878324938600517
1996-07-22,242.12,242.73,237.84,238.52,0,-1.5762977634728
1996-07-23,237.23,239.18,237.18,238.42,0,-0.0419252054335129
1996-07-24,235.63,235.63,230.89,232.7,0,-2.39912758996729
1996-07-25,232.2,237.75,231.97,237.6,0,2.10571551353675
1996-07-26,239.12,239.12,236.38,236.51,0,-0.458754208754208
1996-07-29,237.51,238.66,236.63,238.65,0,0.904824320324726
1996-07-30,238.13,239.42,237.46,238.92,0,0.113136392206159
1996-07-31,239.95,243.12,239.65,243.1,0,1.74953959484347
1996-08-01,244.43,245.07,242.3,245.07,0,0.810366104483751
1996-08-02,246.33,250.35,245.81,249.78,0,1.92189986534459
1996-08-05,250.82,252.23,248.83,249.63,0,-0.0600528465049321
1996-08-06,249.45,249.62,247.96,248.58,0,-0.42062252133156
1996-08-07,249.94,251.42,249.63,251.14,0,1.02984954541796
1996-08-08,251.26,251.47,249.53,249.67,0,-0.585330891136415
1996-08-09,248.45,250.09,247.92,249.34,0,-0.132174470300794
1996-08-12,249.21,250.98,248.81,249,0,-0.13635999037459
1996-08-13,250.02,250.92,249.1,249.25,0,0.100401606425704
1996-08-14,248.75,249.48,248.55,249.33,0,0.032096288866601
1996-08-15,251.39,251.9,250.75,251.76,0,0.974611960052929
1996-08-16,252.13,253.69,251.96,252.95,0,0.472672386399742
1996-08-19,253.88,254.93,253.45,254.5,0,0.612769322000406
